Date,Store,Dept,Weekly_Sales,IsHoliday,rolling_12w,rolling_std_12w,week_of_year,trend,seasonal,residual
2010-02-05,1,1,24924.5,False,,,5,,-246.87884707840067,
2010-02-12,1,1,46039.49,True,,,6,,14604.252018306213,
2010-02-19,1,1,41595.55,False,,,7,,27608.95466253698,
2010-02-26,1,1,19403.54,False,,,8,,-3110.0202413091706,
2010-03-05,1,1,21827.9,False,,,9,,-2638.2011547707084,
2010-03-12,1,1,21043.39,False,,,10,,-1651.00774130917,
2010-03-19,1,1,22136.64,False,,,11,,-1512.5609143860952,
2010-03-26,1,1,26229.21,False,,,12,,-1375.4032701553265,
2010-04-02,1,1,57258.43,False,,,13,,1805.7553836908296,
2010-04-09,1,1,42960.91,False,,,14,,17875.87932599852,
2010-04-16,1,1,17596.96,False,,,15,,8893.608027921595,
2010-04-23,1,1,16145.35,False,29763.489166666666,13514.119640804278,16,,10940.356970229288,
2010-04-30,1,1,16555.11,False,29066.039999999997,13994.00510056165,17,,6187.716825998517,
2010-05-07,1,1,17413.94,False,26680.5775,13258.075479909063,18,,-2316.716924001483,
2010-05-14,1,1,18926.74,False,24791.51,12534.987031964138,19,,-5265.78894323225,
2010-05-21,1,1,14773.04,False,24405.635,12784.712550681557,20,,-7351.062500924556,
2010-05-28,1,1,15580.43,False,23885.0125,13024.189303511808,21,,-6761.519231693786,
2010-06-04,1,1,17558.09,False,23594.570833333335,13131.736126646123,22,,-6115.766250924555,
2010-06-11,1,1,16637.62,False,23136.319166666668,13282.322832865602,23,,-6710.4750970784025,
2010-06-18,1,1,16216.27,False,22301.9075,13384.479787526045,24,,-7641.563174001478,
2010-06-25,1,1,16328.72,False,18891.098333333335,7655.683358666338,25,,-6857.205577847635,
2010-07-02,1,1,16333.14,False,16672.1175,1078.937628647493,26,,-7129.244616309168,
2010-07-09,1,1,17688.76,False,16679.7675,1086.3908774480687,27,,-6390.1222124630185,
2010-07-16,1,1,17150.84,False,16763.558333333334,1080.183187981132,28,,-6885.278270155322,
2010-07-23,1,1,15360.45,False,16664.00333333333,1153.6929174953357,29,,-6778.896827847631,
2010-07-30,1,1,15381.82,False,16494.66,1182.3914114432064,30,,-6632.13115477071,
2010-08-06,1,1,17508.41,False,16376.465833333334,968.7659231344933,31,22958.960576923077,-6365.020145155324,914.4695682322472
2010-08-13,1,1,15536.4,False,16440.079166666666,874.3703126090694,32,22849.238846153847,-7678.592597078403,365.7537509245558
2010-08-20,1,1,15740.13,False,16453.3875,861.2129229188245,33,22821.335,-7518.413895155325,437.2088951553251
2010-08-27,1,1,15793.87,False,16306.369166666665,804.1815557047535,34,22871.43701923077,-7630.8694240014775,553.3024047707095
2010-09-03,1,1,16241.78,False,16273.3825,797.44905358081,35,22856.629326923077,-7032.184664386094,417.3353374630169
2010-09-10,1,1,18194.74,True,16438.255,970.3482239850917,36,22844.482403846152,-4813.219904770707,163.4775009245568
2010-09-17,1,1,19354.23,False,16690.380833333333,1282.2365222210522,37,22829.43048076923,-3840.646635539941,365.4461547707092
2010-09-24,1,1,18122.52,False,16839.495833333334,1339.6747797029268,38,22760.675480769234,-4775.883606693787,137.72812592455375
2010-10-01,1,1,20094.19,False,17039.948333333334,1627.3688665441177,39,22354.825,-3394.9591836168643,1134.3241836168622
2010-10-08,1,1,23388.03,False,17559.71416666667,2452.745944163083,40,21816.868653846155,-452.34706823224997,2023.5084143860936
2010-10-15,1,1,26978.34,False,18527.871666666666,3552.22582856757,41,21740.69836538462,2330.300335613903,2907.341299001479
2010-10-22,1,1,25543.04,False,19374.64,3925.5820418494695,42,22178.490384615387,1663.6306721523665,1700.9189432322478
2010-10-29,1,1,38640.93,False,21135.683333333334,6742.025393879447,43,22748.89653846154,12323.628893306213,3568.4045682322467
2010-11-05,1,1,34238.88,False,22694.22333333333,7454.084886142927,44,23015.06509615385,14277.962787536979,-3054.14788369083
2010-11-12,1,1,19549.39,False,23011.661666666667,7208.067158955673,45,23024.99451923077,-3660.0949047707095,184.4903855399375
2010-11-19,1,1,19552.84,False,23324.909166666668,6942.674338476188,46,23012.22673076923,-3492.1474528476324,32.76072207840161
2010-11-26,1,1,18820.29,True,23539.785,6740.480238026622,47,23017.273942307693,-2952.780674001477,-1244.2032683062148
2010-12-03,1,1,22517.56,False,23900.02,6541.427555256794,48,23008.01653846154,1087.5006721523691,-1577.9572106139071
2010-12-10,1,1,31497.65,False,24911.971666666668,6711.3488676215,49,22989.958461538463,9585.992499075444,-1078.3009606139058
2010-12-17,1,1,44912.86,False,27144.5,8472.37718562775,50,22970.801923076924,22515.753797152367,-573.6957202292906
2010-12-24,1,1,55931.23,False,30130.92,11526.796554633436,51,22952.685673076925,28524.87937407544,4453.664952847634
2010-12-31,1,1,19124.58,True,29775.632500000003,11815.612287765041,52,22937.15153846154,-1595.9112509245574,-2216.660287536982
2011-01-07,1,1,15984.24,False,28859.4575,12460.850595779153,1,22913.021442307694,-6555.389183616866,-373.3922586908284
2011-01-14,1,1,17359.7,False,28177.5125,12875.861782285865,2,22883.83028846154,-5702.140481693787,178.01019323224682
2011-01-21,1,1,17341.47,False,26402.557500000006,12769.982954569767,3,22873.351057692307,-4977.84274130917,-554.0383163831357
2011-01-28,1,1,18461.18,False,25087.749166666672,12701.86094487623,4,22882.454326923078,-4417.885481693786,-3.388845229292201
2011-02-04,1,1,21665.76,False,25264.11333333333,12632.473744135743,5,22866.374807692308,-246.87884707840067,-953.7359606139084
2011-02-11,1,1,37887.17,True,26791.974166666667,12982.799577862777,6,22835.51451923077,14604.252018306213,447.4034624630167
2011-02-18,1,1,46845.87,False,29127.439166666667,13906.316949550443,7,22815.82701923077,27608.95466253698,-3578.911681767746
2011-02-25,1,1,19363.83,False,28864.628333333338,14071.41166616965,8,22793.640576923077,-3110.0202413091706,-319.7903356139045
2011-03-04,1,1,20327.61,False,27933.791666666668,14249.724989988621,9,22772.28471153846,-2638.2011547707084,193.52644323224786
2011-03-11,1,1,21280.4,False,25964.420000000002,13290.594922240045,10,22758.702307692307,-1651.00774130917,172.7054336168644
2011-03-18,1,1,20334.23,False,22998.003333333338,9395.999395460658,11,22746.521442307694,-1512.5609143860952,-899.7305279215993
2011-03-25,1,1,20881.1,False,23144.38,9343.707697479922,12,22736.117884615385,-1375.4032701553265,-479.61461446006024
2011-04-01,1,1,20398.09,False,23512.200833333336,9120.429649242971,13,22716.697403846156,1805.7553836908296,-4124.362787536986
2011-04-08,1,1,23873.79,False,24055.041666666668,8912.432445399812,14,22674.899711538463,17875.87932599852,-16676.989037536983
2011-04-15,1,1,28762.37,False,25006.783333333336,8738.437150395153,15,22612.483942307696,8893.608027921595,-2743.7219702292914
2011-04-22,1,1,50510.31,False,27677.544166666663,11127.167860033933,16,22553.906730769235,10940.356970229288,17016.046299001475
2011-04-29,1,1,41512.39,False,29331.430000000004,11616.562864400286,17,22464.94259615385,6187.716825998517,12859.730577847631
2011-05-06,1,1,20138.19,False,27852.34833333333,11557.96712401595,18,22451.34788461539,-2316.716924001483,3.5590393860934455
2011-05-13,1,1,17235.15,False,25384.788333333334,10217.442534225338,19,22497.37990384616,-5265.78894323225,3.5590393860929908
2011-05-20,1,1,15136.78,False,25032.534166666665,10512.49555578889,20,22484.283461538464,-7351.062500924556,3.5590393860929908
2011-05-27,1,1,15741.6,False,24650.36666666667,10779.065203244954,21,22499.560192307694,-6761.519231693786,3.5590393860929908
2011-06-03,1,1,16434.15,False,24246.512499999997,11005.218084402368,22,22546.357211538463,-6115.766250924555,3.5590393860929908
2011-06-10,1,1,15883.52,False,23875.62,11221.918609960685,23,22590.43605769231,-6710.4750970784025,3.5590393860929908
2011-06-17,1,1,14978.09,False,23383.7025,11491.265957330876,24,22616.094134615385,-7641.563174001478,3.5590393860929908
2011-06-24,1,1,15682.81,False,22990.762499999997,11681.680169846468,25,22536.45653846154,-6857.205577847635,3.5590393860929908
2011-07-01,1,1,15363.5,False,22281.571666666667,11879.845972056157,26,22489.185576923075,-7129.244616309168,3.5590393860929908
2011-07-08,1,1,16148.87,False,21230.446666666667,11812.124206721082,27,22535.433173076926,-6390.1222124630185,3.5590393860929908
2011-07-15,1,1,15654.85,False,18325.825,7430.428949309486,28,22536.56923076923,-6885.278270155322,3.5590393860929908
2011-07-22,1,1,15766.6,False,16180.3425,1382.3468939000445,29,22541.93778846154,-6778.896827847631,3.5590393860929908
2011-07-29,1,1,15922.41,False,15829.027500000002,598.5298562026871,30,22550.982115384617,-6632.13115477071,3.5590393860929908
2011-08-05,1,1,15295.55,False,15667.394166666667,419.3644131402099,31,22567.921634615384,-6365.020145155324,-907.3514894600612
2011-08-12,1,1,14539.79,False,15617.645000000002,512.9922583946334,32,22577.01826923077,-7678.592597078403,-358.635672152368
2011-08-19,1,1,14689.24,False,15529.948333333334,575.9619752890694,33,22637.744711538464,-7518.413895155325,-430.0908163831391
2011-08-26,1,1,14537.37,False,15371.883333333333,565.4339226621158,34,22714.42375,-7630.8694240014775,-546.1843259985235
2011-09-02,1,1,15277.27,False,15321.362499999997,542.16921870525,35,22719.671923076923,-7032.184664386094,-410.2172586908291
2011-09-09,1,1,17746.68,True,15552.078333333333,871.727308089976,36,22716.25932692308,-4813.219904770707,-156.35942215237083
2011-09-16,1,1,18535.48,False,15789.800833333333,1227.1342961362818,37,22734.454711538463,-3840.646635539941,-358.3280759985223
2011-09-23,1,1,17859.3,False,15997.784166666666,1353.3276827305342,38,22765.793653846154,-4775.883606693787,-130.61004715236777
2011-09-30,1,1,18337.68,False,16180.185,1513.5598855648266,39,22859.84528846154,-3394.9591836168643,-1127.2061048446753
2011-10-07,1,1,20797.58,False,16608.745833333334,2000.906291670053,40,23266.31740384616,-452.34706823224997,-2016.3903356139067
2011-10-14,1,1,23077.55,False,17217.991666666665,2708.9403796480988,41,23647.47288461539,2330.300335613903,-2900.223220229292
2011-10-21,1,1,23351.8,False,17837.1075,3191.8555107908655,42,23381.970192307694,1663.6306721523665,-1693.800864460061
2011-10-28,1,1,31579.9,False,19194.13666666667,4976.06864613447,43,22817.55759615385,12323.628893306213,-3561.2864894600607
2011-11-04,1,1,39886.06,False,21306.325833333332,7539.7762343881805,44,22546.831250000003,14277.962787536979,3061.265962463016
2011-11-11,1,1,18689.54,False,21639.684166666666,7305.407039509676,45,22527.00721153846,-3660.0949047707095,-177.37230676775062
2011-11-18,1,1,19050.66,False,22015.791666666668,7017.001363810923,46,22568.450096153847,-3492.1474528476324,-25.642643306214723
2011-11-25,1,1,20911.25,True,22485.289999999997,6706.771228041927,47,22612.709326923075,-2952.780674001477,1251.3213470784017
2011-12-02,1,1,25293.49,False,23114.19083333333,6574.564975363858,48,22620.91403846154,1087.5006721523691,1585.075289386094
2011-12-09,1,1,33305.92,False,24345.060833333333,7007.789236379583,49,22634.508461538462,9585.992499075444,1085.4190393860918
2011-12-16,1,1,45773.03,False,26671.205,9006.874236370297,50,22676.462403846155,22515.753797152367,580.8137990014766
2011-12-23,1,1,46788.75,False,29042.127500000002,10269.877907112741,51,22710.417500000003,28524.87937407544,-4446.546874075444
2011-12-30,1,1,23350.88,True,29254.9025,10108.721575118938,52,22723.01288461539,-1595.9112509245574,2223.778366309169
2012-01-06,1,1,16567.69,False,28712.41416666667,10631.526550463412,1,22742.56884615385,-6555.389183616866,380.5103374630162
2012-01-13,1,1,16894.4,False,28174.297499999997,11081.423295364948,2,22767.43259615385,-5702.140481693787,-170.89211446006084
2012-01-20,1,1,18365.1,False,27073.064166666667,11365.206128252272,3,22781.786346153847,-4977.84274130917,561.1563951553217
2012-01-27,1,1,18378.16,False,25280.739166666666,10844.883012442877,4,22785.538557692307,-4417.885481693786,10.506924001478183
2012-02-03,1,1,23510.49,False,25682.484999999997,10666.342314928177,5,22796.514807692307,-246.87884707840067,960.8540393860953
2012-02-10,1,1,36988.49,True,27177.30416666667,10906.671337507538,6,22824.523365384615,14604.252018306213,-440.2853836908307
2012-02-17,1,1,54060.1,False,29939.708333333332,13143.823409237331,7,22865.11557692308,27608.95466253698,3586.029760539939
2012-02-24,1,1,20124.22,False,29508.935833333333,13392.300091012587,8,22907.33182692308,-3110.0202413091706,326.9084143860914
2012-03-02,1,1,20113.03,False,28409.528333333332,13592.28495895363,9,22937.63951923077,-2638.2011547707084,-186.40836446006097
2012-03-09,1,1,21140.07,False,26356.781666666666,12551.859414086708,10,22956.665096153847,-1651.00774130917,-165.58735484467752
2012-03-16,1,1,22366.88,False,24321.625833333335,10794.748708199377,11,22972.59230769231,-1512.5609143860952,906.8486066937862
2012-03-23,1,1,22107.7,False,24218.0275,10810.865431472284,12,22996.37057692308,-1375.4032701553265,486.73269323224713
2012-03-30,1,1,28952.86,False,25250.125,10603.306504433165,13,23015.62375,1805.7553836908296,4131.480866309172
2012-04-06,1,1,57592.12,False,28641.601666666666,13734.139049147061,14,23032.13355769231,17875.87932599852,16684.107116309173
2012-04-13,1,1,34684.21,False,30001.5275,13428.619976931988,15,23039.761923076927,8893.608027921595,2750.8400490014774
2012-04-20,1,1,16976.19,False,29884.69666666667,13544.536405902054,16,23044.76125,10940.356970229288,-17008.92822022929
2012-04-27,1,1,16347.6,False,29287.789166666666,14001.123408594081,17,23012.495673076926,6187.716825998517,-12852.612499075443
2012-05-04,1,1,17147.44,False,27634.368333333332,14179.459224424758,18,,-2316.716924001483,
2012-05-11,1,1,18164.2,False,24643.043333333335,11660.4077347386,19,,-5265.78894323225,
2012-05-18,1,1,18517.79,False,24509.174166666668,11726.039812695404,20,,-7351.062500924556,
