Date,index,Store,Dept,Weekly_Sales,IsHoliday_x,rolling_12w,rolling_std_12w,week_of_year,trend,seasonal,residual,Weekly_Sales_log,Weekly_Sales_diff,lag_1,lag_2,lag_3,lag_4,rolling_mean_4,rolling_std_4,rolling_mean_12,rolling_std_12,month,quarter,year,IsHoliday_y,IsHoliday,rf_forecast,gb_forecast
2012-08-10,131,1,1,16119.92,False,16652.259166666667,723.5473369760728,32,,-7678.592597078403,,9.687873086392374,-508.3900000000013,16628.31,15731.18,16348.06,16566.18,16206.867499999997,379.20424060264855,16652.259166666667,723.5473369760728,8,3,2012,False,False,16162.868500000008,16142.838372426446
2012-08-17,132,1,1,17330.7,False,16682.855,745.3415909077073,33,,-7518.413895155325,,9.760292473686226,1210.7800000000009,16119.92,16628.31,15731.18,16348.06,16452.527499999997,691.1479320360431,16682.855,745.3415909077073,8,3,2012,False,False,17439.02602000002,17334.839070747254
2012-08-24,133,1,1,16286.4,False,16701.264166666664,731.3030222142597,34,,-7630.869424001477,,9.698147081736586,-1044.300000000001,17330.7,16119.92,16628.31,15731.18,16591.332499999997,536.421852113023,16701.264166666664,731.3030222142597,8,3,2012,False,False,16313.987439999906,16328.191913694745
2012-08-31,134,1,1,16680.24,False,16619.1175,665.4865002817779,35,,-7032.184664386094,,9.722040013677196,393.840000000002,16286.4,17330.7,16119.92,16628.31,16604.314999999995,538.2404162633701,16619.1175,665.4865002817779,8,3,2012,False,False,16612.37941999994,16632.1343686897
2012-09-07,135,1,1,18322.37,True,16682.74666666667,788.6143972282141,36,,-4813.219904770707,,9.8159325732761,1642.1299999999974,16680.24,16286.4,17330.7,16119.92,17154.927499999998,889.4729157340106,16682.74666666667,788.6143972282141,9,3,2012,True,True,18337.853259999996,18328.186756454532
2012-09-14,136,1,1,19616.22,False,16931.314166666667,1156.107945915429,37,,-3840.646635539941,,9.884163030929209,1293.8500000000022,18322.37,16680.24,16286.4,17330.7,17726.307499999995,1537.817781216084,16931.314166666667,1156.107945915429,9,3,2012,False,False,19452.76058000011,19547.061775842478
2012-09-21,137,1,1,19251.5,False,17225.370833333334,1264.4658836656029,38,,-4775.883606693787,,9.865396201413406,-364.7200000000012,19616.22,18322.37,16680.24,16286.4,18467.5825,1310.1621573521677,17225.370833333334,1264.4658836656029,9,3,2012,False,False,19288.794320000135,19350.155582901523
2012-09-28,138,1,1,18947.81,False,17319.07416666667,1351.4787720357735,39,,-3394.9591836168643,,9.849496411704996,-303.6899999999987,19251.5,19616.22,18322.37,16680.24,19034.475,547.7625546706794,17319.07416666667,1351.4787720357735,9,3,2012,False,False,18892.240100000057,18919.26352795587
2012-10-05,139,1,1,21904.47,False,17763.931666666667,1862.9319648527487,40,,-452.34706823225,,9.994491656306334,2956.66,18947.81,19251.5,19616.22,18322.37,19930.0,1344.3770695503058,17763.931666666667,1862.9319648527487,10,4,2012,False,False,22234.617499999964,22102.421375682687
2012-10-12,140,1,1,22764.01,False,18298.594166666662,2291.1171046317145,41,,2330.300335613903,,10.032979987039596,859.5399999999972,21904.47,18947.81,19251.5,19616.22,20716.9475,1904.2109858655333,18298.594166666662,2291.1171046317145,10,4,2012,False,False,22974.6042,22519.570706242193
2012-10-19,141,1,1,24185.27,False,19003.101666666666,2694.215360754337,42,,1663.6306721523663,,10.093540395765917,1421.260000000002,22764.01,21904.47,18947.81,19251.5,21950.39,2211.6555956717057,19003.101666666666,2694.215360754337,10,4,2012,False,False,23670.83495999997,23871.630259730624
2012-10-26,142,1,1,27390.81,False,19899.976666666666,3502.053409966923,43,,12323.628893306211,,10.217999342585635,3205.540000000001,24185.27,22764.01,21904.47,18947.81,24061.14,2410.8008552897813,19899.976666666666,3502.053409966923,10,4,2012,False,False,26946.75989999988,26976.40577239591
